sample-id	sex	hive	empo_1	empo_2	empo_3	origin	problem	tube_id	taxon_id	elevation	env_biome	infection	env_matter	life_stage	typesample	env_feature	env_package	sample_type	env_material	blocking_primer
ERR7420289	not applicable	B21	Free-living	Non-saline	Surface (non-saline)	agricultural	No	S3.B21.S.DNA	1774230	87	village biome	No	DirtHiveDoor	not applicable	hive_door	insect-associated habitat	host-associated	surface	organic material	No
ERR7420290	not applicable	B22	Free-living	Non-saline	Aerosol (non-saline)	agricultural	No	S3.B22.F.DNA	655179	87	village biome	No	HiveInternalAir	not applicable	hive_air	insect-associated habitat	air	air	air	No
ERR7420291	female	B22	Host-associated	Animal	Animal secretion	agricultural	No	S3.B22.G.DNA	1202446	87	village biome	No	Gut	adult	worker_gut	insect-associated habitat	host-associated	insect gut	intestine environment	No
ERR7420292	not applicable	B22	Host-associated	Plant	Plant secretion	agricultural	No	S3.B22.PB.DNA	1628154	87	village biome	No	BeeBread	not applicable	beebread	insect-associated habitat	host-associated	beebread	organic material	Yes
ERR7420293	not applicable	B22	Free-living	Non-saline	Surface (non-saline)	agricultural	No	S3.B22.S.DNA	1774230	87	village biome	No	DirtHiveDoor	not applicable	hive_door	insect-associated habitat	host-associated	surface	organic material	No
ERR7420294	not applicable	B23	Free-living	Non-saline	Aerosol (non-saline)	agricultural	No	S3.B23.F.DNA	655179	87	village biome	No	HiveInternalAir	not applicable	hive_air	insect-associated habitat	air	air	air	No
ERR7420295	female	B23	Host-associated	Animal	Animal secretion	agricultural	No	S3.B23.G.DNA	1202446	87	village biome	No	Gut	adult	worker_gut	insect-associated habitat	host-associated	insect gut	intestine environment	No
ERR7420296	not applicable	B23	Host-associated	Plant	Plant secretion	agricultural	No	S3.B23.PB.DNA	1628154	87	village biome	No	BeeBread	not applicable	beebread	insect-associated habitat	host-associated	beebread	organic material	Yes
ERR7420297	not applicable	B23	Free-living	Non-saline	Surface (non-saline)	agricultural	No	S3.B23.S.DNA	1774230	87	village biome	No	DirtHiveDoor	not applicable	hive_door	insect-associated habitat	host-associated	surface	organic material	No
ERR7420298	not applicable	B24	Free-living	Non-saline	Aerosol (non-saline)	agricultural	No	S3.B24.F.DNA	655179	87	village biome	No	HiveInternalAir	not applicable	hive_air	insect-associated habitat	air	air	air	No
ERR7420299	female	B24	Host-associated	Animal	Animal secretion	agricultural	No	S3.B24.G.DNA	1202446	87	village biome	No	Gut	adult	worker_gut	insect-associated habitat	host-associated	insect gut	intestine environment	No
ERR7420300	not applicable	B24	Host-associated	Plant	Plant secretion	agricultural	No	S3.B24.PB.DNA	1628154	87	village biome	No	BeeBread	not applicable	beebread	insect-associated habitat	host-associated	beebread	organic material	Yes
ERR7420301	not applicable	B24	Free-living	Non-saline	Surface (non-saline)	agricultural	No	S3.B24.S.DNA	1774230	87	village biome	No	DirtHiveDoor	not applicable	hive_door	insect-associated habitat	host-associated	surface	organic material	No
ERR7420302	not applicable	B3	Free-living	Non-saline	Aerosol (non-saline)	agricultural	No	S3.B3.F.DNA	655179	87	village biome	No	HiveInternalAir	not applicable	hive_air	insect-associated habitat	air	air	air	No
ERR7420303	female	B3	Host-associated	Animal	Animal secretion	agricultural	No	S3.B3.G.DNA	1202446	87	village biome	No	Gut	adult	worker_gut	insect-associated habitat	host-associated	insect gut	intestine environment	No
ERR7420304	not applicable	B3	Host-associated	Plant	Plant secretion	agricultural	No	S3.B3.PB.DNA	1628154	87	village biome	No	BeeBread	not applicable	beebread	insect-associated habitat	host-associated	beebread	organic material	Yes
ERR7420305	not applicable	B3	Free-living	Non-saline	Surface (non-saline)	agricultural	No	S3.B3.S.DNA	1774230	87	village biome	No	DirtHiveDoor	not applicable	hive_door	insect-associated habitat	host-associated	surface	organic material	No
ERR7420306	not applicable	B4	Free-living	Non-saline	Aerosol (non-saline)	agricultural	No	S3.B4.F.DNA	655179	87	village biome	No	HiveInternalAir	not applicable	hive_air	insect-associated habitat	air	air	air	No
ERR7420307	female	B4	Host-associated	Animal	Animal secretion	agricultural	No	S3.B4.G.DNA	1202446	87	village biome	No	Gut	adult	worker_gut	insect-associated habitat	host-associated	insect gut	intestine environment	No
ERR7420308	not applicable	B4	Host-associated	Plant	Plant secretion	agricultural	No	S3.B4.PB.DNA	1628154	87	village biome	No	BeeBread	not applicable	beebread	insect-associated habitat	host-associated	beebread	organic material	Yes
ERR7420309	not applicable	B4	Free-living	Non-saline	Surface (non-saline)	agricultural	No	S3.B4.S.DNA	1774230	87	village biome	No	DirtHiveDoor	not applicable	hive_door	insect-associated habitat	host-associated	surface	organic material	No
ERR7420310	not applicable	B5	Free-living	Non-saline	Aerosol (non-saline)	agricultural	No	S3.B5.F.DNA	655179	87	village biome	No	HiveInternalAir	not applicable	hive_air	insect-associated habitat	air	air	air	No
ERR7420311	female	B5	Host-associated	Animal	Animal secretion	agricultural	No	S3.B5.G.DNA	1202446	87	village biome	No	Gut	adult	worker_gut	insect-associated habitat	host-associated	insect gut	intestine environment	No
ERR7420312	not applicable	B5	Host-associated	Plant	Plant secretion	agricultural	No	S3.B5.PB.DNA	1628154	87	village biome	No	BeeBread	not applicable	beebread	insect-associated habitat	host-associated	beebread	organic material	Yes
ERR7420313	not applicable	B5	Free-living	Non-saline	Surface (non-saline)	agricultural	No	S3.B5.S.DNDA	1774230	87	village biome	No	DirtHiveDoor	not applicable	hive_door	insect-associated habitat	host-associated	surface	organic material	No
ERR7420314	not applicable	B6	Free-living	Non-saline	Aerosol (non-saline)	agricultural	No	S3.B6.F.DNA	655179	87	village biome	No	HiveInternalAir	not applicable	hive_air	insect-associated habitat	air	air	air	No
ERR7420315	female	B6	Host-associated	Animal	Animal secretion	agricultural	No	S3.B6.G.DNA	1202446	87	village biome	No	Gut	adult	worker_gut	insect-associated habitat	host-associated	insect gut	intestine environment	No
ERR7420316	not applicable	B6	Host-associated	Plant	Plant secretion	agricultural	No	S3.B6.PB.DNA	1628154	87	village biome	No	BeeBread	not applicable	beebread	insect-associated habitat	host-associated	beebread	organic material	Yes
ERR7420317	not applicable	B6	Free-living	Non-saline	Surface (non-saline)	agricultural	No	S3.B6.S.DNA	1774230	87	village biome	No	DirtHiveDoor	not applicable	hive_door	insect-associated habitat	host-associated	surface	organic material	No
ERR7420318	not applicable	B7	Free-living	Non-saline	Aerosol (non-saline)	agricultural	No	S3.B7.F.DNA	655179	87	village biome	No	HiveInternalAir	not applicable	hive_air	insect-associated habitat	air	air	air	No
ERR7420319	female	B7	Host-associated	Animal	Animal secretion	agricultural	No	S3.B7.G.DNA	1202446	87	village biome	No	Gut	adult	worker_gut	insect-associated habitat	host-associated	insect gut	intestine environment	No
ERR7420320	not applicable	B7	Host-associated	Plant	Plant secretion	agricultural	No	S3.B7.PB.DNA	1628154	87	village biome	No	BeeBread	not applicable	beebread	insect-associated habitat	host-associated	beebread	organic material	Yes
