sample-id	sex	hive	empo_1	empo_2	empo_3	origin	problem	tube_id	taxon_id	elevation	env_biome	infection	env_matter	life_stage	typesample	env_feature	env_package	sample_type	env_material	blocking_primer
ERR7420274	not applicable	B17	Free-living	Non-saline	Surface (non-saline)	agricultural	No	S3.B17.S.DNA	1774230	87	village biome	No	DirtHiveDoor	not applicable	hive_door	insect-associated habitat	host-associated	surface	organic material	No
ERR7420275	not applicable	B18	Free-living	Non-saline	Aerosol (non-saline)	agricultural	No	S3.B18.F.DNA	655179	87	village biome	No	HiveInternalAir	not applicable	hive_air	insect-associated habitat	air	air	air	No
ERR7420276	female	B18	Host-associated	Animal	Animal secretion	agricultural	No	S3.B18.G.DNA	1202446	87	village biome	No	Gut	adult	worker_gut	insect-associated habitat	host-associated	insect gut	intestine environment	No
ERR7420277	not applicable	B18	Host-associated	Plant	Plant secretion	agricultural	No	S3.B18.PB.DNA	1628154	87	village biome	No	BeeBread	not applicable	beebread	insect-associated habitat	host-associated	beebread	organic material	Yes
ERR7420278	not applicable	B18	Free-living	Non-saline	Surface (non-saline)	agricultural	No	S3.B18.S.DNA	1774230	87	village biome	No	DirtHiveDoor	not applicable	hive_door	insect-associated habitat	host-associated	surface	organic material	No
ERR7420279	not applicable	B2	Free-living	Non-saline	Aerosol (non-saline)	agricultural	No	S3.B2.F.DNA	655179	87	village biome	No	HiveInternalAir	not applicable	hive_air	insect-associated habitat	air	air	air	No
ERR7420280	female	B2	Host-associated	Animal	Animal secretion	agricultural	No	S3.B2.G.DNA	1202446	87	village biome	No	Gut	adult	worker_gut	insect-associated habitat	host-associated	insect gut	intestine environment	No
ERR7420281	not applicable	B2	Host-associated	Plant	Plant secretion	agricultural	No	S3.B2.PB.DNA	1628154	87	village biome	No	BeeBread	not applicable	beebread	insect-associated habitat	host-associated	beebread	organic material	Yes
ERR7420282	not applicable	B2	Free-living	Non-saline	Surface (non-saline)	agricultural	No	S3.B2.S.DNA	1774230	87	village biome	No	DirtHiveDoor	not applicable	hive_door	insect-associated habitat	host-associated	surface	organic material	No
ERR7420283	not applicable	B20	Free-living	Non-saline	Aerosol (non-saline)	agricultural	No	S3.B20.F.DNA	655179	87	village biome	No	HiveInternalAir	not applicable	hive_air	insect-associated habitat	air	air	air	No
ERR7420284	female	B20	Host-associated	Animal	Animal secretion	agricultural	No	S3.B20.G.DNA	1202446	87	village biome	No	Gut	adult	worker_gut	insect-associated habitat	host-associated	insect gut	intestine environment	No
ERR7420285	not applicable	B20	Free-living	Non-saline	Surface (non-saline)	agricultural	No	S3.B20.S.DNA	1774230	87	village biome	No	DirtHiveDoor	not applicable	hive_door	insect-associated habitat	host-associated	surface	organic material	No
ERR7420286	not applicable	B21	Free-living	Non-saline	Aerosol (non-saline)	agricultural	No	S3.B21.F.DNA	655179	87	village biome	No	HiveInternalAir	not applicable	hive_air	insect-associated habitat	air	air	air	No
ERR7420287	female	B21	Host-associated	Animal	Animal secretion	agricultural	No	S3.B21.G.DNA	1202446	87	village biome	No	Gut	adult	worker_gut	insect-associated habitat	host-associated	insect gut	intestine environment	No
ERR7420288	not applicable	B21	Host-associated	Plant	Plant secretion	agricultural	No	S3.B21.PB.DNA	1628154	87	village biome	No	BeeBread	not applicable	beebread	insect-associated habitat	host-associated	beebread	organic material	Yes
